time,pressure,vstress,hstress,vstrain,hstrain
58.2,274.5,296.1,-113.7,2.252,-0.748
58.3,285.2,301.7,-95.4,2.253,-0.772
58.4,298.5,310.7,-60,2.253,-0.77
58.5,316.1,313.1,-20.8,2.253,-0.77
58.6,331.7,317.8,16,2.25,-0.7
58.7,347,320.2,48.8,2.235,-0.515
58.8,359.2,325.8,80.4,2.223,-0.187
58.9,369.7,327.5,101.9,2.223,-0.187
59,373.9,327.7,114,2.223,0.183
59.1,374,327.2,114.8,2.218,0.57
59.2,372.7,326,112.9,2.218,0.713
59.3,360.3,317.1,92.9,2.219,0.724
59.4,347.8,303.8,61.8,2.219,0.724
59.5,331.9,298,25.2,2.217,0.71
59.6,315.5,298,-14.1,2.221,0.622
59.7,299.4,297.2,-48.8,2.223,0.422
59.8,286.7,297.6,-81.4,2.223,0.422
59.9,278.2,295.3,-101.6,2.234,0.022
60,273.6,294.6,-113.8,2.246,-0.415
60.1,274,295.5,-114,2.253,-0.72
60.2,275.1,296.2,-112.2,2.254,-0.765
60.3,286.3,300.9,-94.5,2.254,-0.765
60.4,299.3,311.2,-60.4,2.254,-0.77
60.5,314.4,313,-21.9,2.253,-0.745
60.6,332.3,317.5,15.3,2.249,-0.621
60.7,347.2,320.2,47.2,2.231,-0.621
60.8,359.8,326,80.3,2.231,-0.362
60.9,368.7,327.5,100.8,2.225,0.009
61,374.2,328.2,114.5,2.224,0.379
61.1,374.2,327.4,115.3,2.218,0.689
61.2,373,326.3,113.4,2.219,0.689
61.3,361.7,316.4,94.4,2.219,0.727
61.4,347.3,303.5,62.9,2.218,0.729
61.5,331.2,298.4,26,2.219,0.679
61.6,314.9,297.9,-13,2.22,0.679
61.7,300.3,296.8,-48.8,2.22,0.544
61.8,286.1,296.9,-81.3,2.225,0.222
61.9,277.5,294.8,-102.5,2.235,-0.188
62,273.3,294.5,-114.3,2.251,-0.652
62.1,273.3,295.1,-115.3,2.253,-0.652
62.2,274.7,296,-113.4,2.253,-0.755
62.3,286.4,301.1,-96.1,2.256,-0.775
62.4,299.4,310.1,-62.7,2.255,-0.772
62.5,314.9,313.2,-23.3,2.255,-0.772
62.6,332.6,318,13.8,2.245,-0.7
62.7,347.5,320.3,46.2,2.245,-0.513
62.8,360.1,326.1,79.4,2.23,-0.182
62.9,368.8,327.2,99.9,2.223,-0.182
63,373.9,327.8,113.8,2.219,0.193
63.1,374,326.8,115.1,2.217,0.584
63.2,372.8,325.7,113.1,2.217,0.719
